,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,longwood_medical_area,west_roxbury,dorchester,roxbury,mattapan,hyde_park
"GreaterEuropean,British",55.40858318636096,70.03034901365706,64.38304314912945,69.75286207523169,54.72242249459265,66.84350132625994,58.98279352226721,54.10740203193033,63.59404096834265,58.1596339603457,63.594470046082954,75.0,50.1840490797546,62.71186440677966,48.14229249011858,75.75757575757575,66.66666666666666,59.87735435830048,61.67481302632354,64.23201515799768,64.97071742313324,58.92938843983529
"GreaterEuropean,WestEuropean,Hispanic",9.58259847148736,1.8715225088517955,3.5957607872823623,1.9534799200436124,15.825522710886805,1.6672982190223569,3.7955465587044532,7.5761973875181425,4.4692737430167595,1.9318759532282663,2.3041474654377883,3.1746031746031744,5.858895705521473,1.564537157757497,6.561264822134387,3.0303030303030303,0.0,5.168637757336837,4.861315588010129,3.9667501986431146,4.099560761346998,5.215799908494739
"Asian,GreaterEastAsian,EastAsian",6.378600823045268,2.12443095599393,4.239212717638153,2.8529892785753224,2.9560201874549383,7.275483137552103,2.682186234817814,2.9898403483309144,3.165735567970205,11.184544992374173,2.3041474654377883,7.936507936507936,2.4539877300613497,2.216427640156454,3.9525691699604746,3.0303030303030303,0.0,2.9785370127025845,3.1270243213002766,2.6526495935456267,2.4890190336749636,6.2528595394235165
"GreaterEuropean,WestEuropean,French",6.349206349206349,3.768335862417805,4.579863739591219,5.924041431946211,3.9293439077144914,3.8651004168245544,9.185222672064777,14.746008708272859,5.121042830540038,6.507371631926792,2.7649769585253456,1.984126984126984,5.214723926380368,6.51890482398957,7.905138339920949,0.0,0.0,7.052124397722295,9.322183616983688,6.350467575331581,10.505124450951683,6.374866554826903
"GreaterEuropean,Jewish",6.202233980011758,5.791603439554882,5.866767600302801,4.106850808649827,2.631578947368421,4.395604395604396,7.363360323886639,3.4542815674891147,2.97951582867784,3.8637519064565327,8.755760368663594,0.7936507936507936,7.515337423312883,9.126466753585397,10.909090909090908,12.121212121212121,33.33333333333333,4.380201489268506,4.3018667922972735,4.522950919870423,3.0380673499267936,5.734329723959128
"GreaterEuropean,WestEuropean,Italian",5.731922398589065,3.3636823469903896,6.056018168054504,5.578775213519898,9.408795962509013,5.759757483895415,7.034412955465587,5.718432510885341,12.104283054003725,5.541433655312659,7.834101382488479,0.7936507936507936,5.889570552147239,6.6492829204693615,16.83794466403162,3.0303030303030303,0.0,7.533946561541831,6.218715034450268,6.362691767006906,6.844802342606149,6.161354277870978
"Asian,IndianSubContinent",3.203997648442093,3.1866464339908953,3.6336109008327027,3.7343267308740686,6.560922855082913,3.751420992800303,2.8846153846153846,4.528301886792453,2.97951582867784,3.253685815963396,2.3041474654377883,0.0,2.638036809815951,3.5202086049543677,0.7905138339920948,0.0,0.0,4.905825667980728,3.0357458335787055,3.917853431941813,3.111273792093704,4.910782369986274
"GreaterAfrican,Muslim",2.204585537918871,3.9200809307030857,1.9303557910673734,1.908050154461203,1.910598413842826,3.4861690034103825,2.8593117408906883,2.1770682148040637,1.303538175046555,3.253685815963396,2.3041474654377883,7.142857142857142,13.496932515337424,1.303780964797914,2.8458498023715415,3.0303030303030303,0.0,2.102496714848883,2.6029091337377066,3.752826844324919,1.4275256222547585,2.5621473234710996
"GreaterEuropean,WestEuropean,Germanic",1.2933568489124045,1.3909964592817399,0.8327024981074944,0.6541886243866981,0.0,0.22735884804850323,0.8097165991902834,0.49346879535558785,0.4655493482309125,1.2709710218607015,0.0,3.1746031746031744,0.245398773006135,3.650586701434159,0.7905138339920948,0.0,0.0,0.7884362680683311,0.5329485896001412,0.4522950919870423,0.21961932650073207,0.35077016928473387
"Asian,GreaterEastAsian,Japanese",0.940623162845385,1.062215477996965,1.4761544284632853,1.13574413956024,0.3965392934390771,1.1367942402425162,0.5060728744939271,1.9738751814223514,0.186219739292365,0.7117437722419928,0.4608294930875576,0.0,1.96319018404908,0.0,0.31620553359683795,0.0,0.0,0.8322382829610162,0.7596725752311407,0.8862538964610965,1.0248901903367496,0.503278938538966
"GreaterEuropean,EastEuropean",0.9112286890064668,1.062215477996965,1.2490537471612415,0.9540250772306015,0.5767844268204758,0.30314513073133764,1.1892712550607287,0.5224963715529753,0.931098696461825,3.457041179461108,3.686635944700461,0.0,1.3496932515337423,0.2607561929595828,0.15810276679841898,0.0,0.0,2.671922908453789,1.5811789647252814,1.2163070716948843,0.8418740849194729,0.8082964770474302
"GreaterAfrican,Africans",0.9112286890064668,1.4162873039959536,1.3626040878122634,0.5451571869889151,0.3965392934390771,0.6820765441455097,0.784412955465587,1.0449927431059507,0.931098696461825,0.2541942043721403,0.9216589861751152,0.0,1.5337423312883436,1.303780964797914,0.6324110671936759,0.0,0.0,0.39421813403416556,0.8185619221482834,1.0023837173766885,0.43923865300146414,0.793045600122007
"GreaterEuropean,WestEuropean,Nordic",0.8818342151675485,1.0116337885685383,0.7948523845571537,0.89950935853171,0.684931506849315,0.6062902614626753,1.9230769230769231,0.6676342525399128,1.7690875232774672,0.6100660904931368,2.7649769585253456,0.0,1.6564417177914113,1.1734028683181226,0.15810276679841898,0.0,0.0,1.314060446780552,1.1630646016135682,0.6845547338182263,0.9882869692532943,1.4030806771389355
