,term,weight
0,zero,0.00013193876462034342
1,zakim,0.0004535990517732319
2,younger,0.00013513361602625925
3,young,8.795917641356228e-05
4,york,0.00023648382804595367
5,yet,4.397958820678114e-05
6,yes,4.618207318412116e-05
7,yells,0.000368879937997353
8,yellow,0.00010332221774883724
9,years,0.0001396840496545418
10,yearlong,0.0004923572461351318
11,year,0.00025787824551607715
12,yard,0.00013791270448818298
13,xaverian,0.0042225167288165895
14,xa0,8.795917641356228e-05
15,wrote,0.00041475881223855315
16,wrong,5.925125889122188e-05
17,wrist,0.0002875475143519063
18,would,3.2234780689509644e-05
19,worth,8.772189840207118e-05
20,world,6.596938231017171e-05
21,workspace,0.0005903666993882534
22,works,3.3783404006564814e-05
23,working,2.198979410339057e-05
24,workforce,0.00013791270448818298
25,worked,0.00013513361602625925
26,work,4.297970758601286e-05
27,wore,4.618207318412116e-05
28,words,7.306765092408357e-05
29,worcester,5.925125889122188e-05
30,wooden,0.0001572607121443436
31,woo,0.000368879937997353
32,wonk,0.0004923572461351318
33,wondered,0.00010332221774883724
34,women,4.397958820678114e-05
35,woman,6.756680801312963e-05
36,witnesses,0.00013791270448818298
37,witnessed,0.0001572607121443436
38,witness,0.00010332221774883724
39,without,0.00010994897051695284
40,within,3.3783404006564814e-05
41,wit,0.0004923572461351318
42,wished,0.0001782931938918973
43,wiped,0.0002875475143519063
44,winter,5.925125889122188e-05
45,winnings,0.0004923572461351318
46,window,4.618207318412116e-05
47,wilson,0.0002013316710019589
48,williams,0.00011999924735651223
49,william,9.236414636824231e-05
50,wife,3.3783404006564814e-05
51,whose,8.795917641356228e-05
52,whole,3.3783404006564814e-05
53,white,0.00021989794103390568
54,whiskers,0.0005903666993882534
55,whether,2.198979410339057e-05
56,wherever,0.000368879937997353
57,westwood,0.0002875475143519063
58,west,2.198979410339057e-05
59,went,0.00013193876462034342
60,well,8.795917641356228e-05
61,welcoming,0.00011999924735651223
62,welcomed,0.00011999924735651223
63,week,6.596938231017171e-05
64,wednesday,9.236414636824231e-05
65,wedding,0.00011999924735651223
66,weapon,0.00023999849471302445
67,ways,4.618207318412116e-05
68,way,6.446956137901929e-05
69,waterfall,0.0004923572461351318
70,water,4.618207318412116e-05
71,watch,4.618207318412116e-05
72,washington,6.756680801312963e-05
73,warrant,0.0002013316710019589
74,warning,0.00011999924735651223
75,warned,0.00013791270448818298
76,warehouse,0.0002013316710019589
77,war,5.925125889122188e-05
78,wants,0.00016891702003282404
79,wanted,9.236414636824231e-05
80,want,4.397958820678114e-05
81,walsh,6.596938231017171e-05
82,wall,0.00029227060369633426
83,walking,0.00011850251778244376
84,walked,0.00023091036592060577
85,walk,0.00011850251778244376
86,wake,0.00041373811346454893
87,voters,0.00017775377667366562
88,vote,6.756680801312963e-05
