,term,weight
0,zoning,5.652293336801939e-05
1,zone,5.066486770042438e-05
2,zero,0.00010626716557011928
3,zaniest,0.0011411947832890917
4,youth,9.544523714390814e-05
5,younger,2.1768077622484018e-05
6,young,3.5422388523373095e-05
7,york,0.00011972442692366208
8,yet,7.792925475142081e-05
9,yesterday,6.486326009929942e-05
10,yes,7.439266286220279e-05
11,years,0.00012808310996969475
12,year,0.00011769799294512492
13,yawkey,0.0002779185577931243
14,yards,8.886299485516906e-05
15,yard,0.00013329449228275357
16,yankees,0.00013621990926012453
17,yankee,0.00031393226696544536
18,xa0,4.2506866228047715e-05
19,wunderkind,0.00013621990926012453
20,wrote,5.726714228634489e-05
21,wrong,1.908904742878163e-05
22,wrigley,0.0007607965221927278
23,wrenching,0.00031393226696544536
24,wreak,0.00019019913054818194
25,wrapped,7.306826871683905e-05
26,wrap,0.0003289627518882684
27,wow,9.263951926437478e-05
28,would,0.0001592384610434043
29,worthy,0.00010132973540084876
30,worth,5.652293336801939e-05
31,worship,0.00018527903852874955
32,worse,3.32874398276567e-05
33,worldwide,0.00010132973540084876
34,world,0.000297548063596334
35,works,3.265211643372602e-05
36,working,6.376029934207157e-05
37,workforces,0.00031724662055307846
38,workforce,0.00017772598971033812
39,workers,0.0001336233320014714
40,worker,4.708058124335078e-05
41,worked,0.00016326058216863012
42,work,7.961923052170215e-05
43,wore,8.927119543464336e-05
44,words,9.416116248670157e-05
45,worcester,1.908904742878163e-05
46,wooded,7.306826871683905e-05
47,wood,3.8660297976317346e-05
48,woo,0.00047536992554942736
49,wonders,0.0003705580770574991
50,wondering,0.0002779185577931243
51,wonderful,8.478440005202908e-05
52,wondered,9.98623194829701e-05
53,wonder,0.00011488185392582807
54,women,5.6675821637396956e-05
55,woman,1.0884038811242009e-05
56,wolfed,0.0004758699308296176
57,without,2.8337910818698478e-05
58,wishing,0.00018527903852874955
59,wish,0.00010132973540084876
60,wisdom,6.486326009929942e-05
61,wisconsin,0.0003705580770574991
62,winter,0.00011453428457268978
63,wins,4.443149742758453e-05
64,winning,9.416116248670157e-05
65,winless,0.00013621990926012453
66,windows,0.00014130733342004845
67,window,5.9514130289762235e-05
68,wind,3.8660297976317346e-05
69,win,9.544523714390814e-05
70,willingness,7.306826871683905e-05
71,willing,5.652293336801939e-05
72,williams,3.8660297976317346e-05
73,wildly,8.22406879720671e-05
74,wife,0.00018502865979111416
75,widow,0.00018527903852874955
76,wide,9.98623194829701e-05
77,wickers,0.00019019913054818194
78,whose,7.0844777046746195e-06
79,whooped,0.00015862331027653923
80,whole,7.618827167869406e-05
81,whites,6.486326009929942e-05
82,white,3.5422388523373095e-05
83,whiskey,0.0005558371155862486
84,whether,4.9591343932722336e-05
85,whenever,5.066486770042438e-05
86,whatever,3.8660297976317346e-05
87,westin,0.0003565274441620705
88,west,7.0844777046746195e-06
89,went,2.1253433114023858e-05
90,wellesley,5.744092696291403e-05
91,well,9.209821016077005e-05
92,weld,5.744092696291403e-05
93,welcoming,3.8660297976317346e-05
94,welcomed,7.732059595263469e-05
95,welcome,0.00011304586673603877
96,weeks,5.9514130289762235e-05
97,week,4.2506866228047715e-05
98,wee,0.00031393226696544536
99,wednesday,8.927119543464336e-05
100,websites,0.0001644813759441342
101,website,8.478440005202908e-05
102,weather,3.8660297976317346e-05
103,ways,4.463559771732168e-05
104,way,9.692775889598523e-05
105,waving,0.00022976370785165613
106,wavered,0.00015862331027653923
107,watering,0.00023768496277471368
108,waterfront,0.00013329449228275357
109,water,4.463559771732168e-05
110,watching,1.908904742878163e-05
111,watchful,0.0001046440889884818
112,watched,4.708058124335078e-05
113,watch,2.9757065144881117e-05
114,washington,2.1768077622484018e-05
115,warren,0.00015199460310127313
116,warmth,9.263951926437478e-05
117,warmed,0.0003565274441620705
118,warm,0.0003110204819930917
119,wares,0.00019019913054818194
120,ward,4.443149742758453e-05
121,wanting,5.066486770042438e-05
122,wanted,5.9514130289762235e-05
123,want,9.209821016077005e-05
124,wannabes,0.00019019913054818194
125,walsh,9.209821016077005e-05
126,walmart,8.22406879720671e-05
127,wall,4.708058124335078e-05
128,walking,1.908904742878163e-05
129,walked,4.463559771732168e-05
130,walk,1.908904742878163e-05
131,walgreen,0.00027243981852024906
132,waiting,0.0002826146668400969
133,waited,0.00011598089392895203
134,wait,1.908904742878163e-05
135,wahlburgers,0.001427609792488853
136,wahlbergs,0.00019019913054818194
137,wahlberg,0.0004758699308296176
138,wages,6.486326009929942e-05
139,wage,5.066486770042438e-05
140,vulnerable,4.443149742758453e-05
141,vulnerabilities,0.00019019913054818194
142,votes,3.8660297976317346e-05
143,voters,0.00015271237943025303
144,voter,9.263951926437478e-05
145,vote,1.0884038811242009e-05
146,volunteered,4.443149742758453e-05
147,void,8.22406879720671e-05
148,voice,0.00016956880010405816
149,vital,0.0001723227808887421
150,visual,9.263951926437478e-05
151,visits,3.32874398276567e-05
152,visiting,7.732059595263469e-05
153,visited,5.726714228634489e-05
154,visit,9.544523714390814e-05
155,visionary,9.263951926437478e-05
156,vision,0.00018832232497340313
157,violence,8.927119543464336e-05
158,viewing,0.00011884248138735684
159,view,6.65748796553134e-05
160,videography,0.00015862331027653923
161,video,3.32874398276567e-05
162,victory,0.00023196178785790406
163,victims,3.8660297976317346e-05
164,vibrant,7.732059595263469e-05
165,vessels,0.0004758699308296176
166,version,0.00011304586673603877
167,versailles,0.00019019913054818194
168,vermont,6.486326009929942e-05
169,verdean,0.0001046440889884818
170,verdancy,0.00019019913054818194
171,verbal,9.263951926437478e-05
172,venturing,0.0001046440889884818
173,vendors,8.22406879720671e-05
174,velvet,0.00013621990926012453
175,vegetation,0.00015862331027653923
176,vatican,9.263951926437478e-05
177,various,7.732059595263469e-05
178,variety,1.908904742878163e-05
179,vanzura,0.00019019913054818194
180,vanquisher,0.0005705973916445458
181,van,0.00013329449228275357
182,values,4.443149742758453e-05
183,valued,0.0003289627518882684
184,value,5.652293336801939e-05
185,valuable,0.0002467220639162013
186,valley,0.00018527903852874955
187,vacuum,0.0001046440889884818
188,vacation,4.443149742758453e-05
189,va,5.744092696291403e-05
190,usual,0.00010132973540084876
191,using,7.062087186502616e-05
192,ushers,0.00027243981852024906
193,usher,0.00011884248138735684
194,uses,0.00017772598971033812
195,users,7.306826871683905e-05
196,used,6.530423286745204e-05
197,use,0.00010884038811242007
198,us,0.00012808310996969475
199,urban,7.618827167869406e-05
200,upholds,0.00019019913054818194
201,upgrade,0.00013621990926012453
202,update,7.306826871683905e-05
203,unyielding,0.00011884248138735684
204,unwavering,0.00027243981852024906
205,unveiled,6.486326009929942e-05
206,unshakable,0.0005705973916445458
207,unscripted,0.00019019913054818194
208,unprotected,0.0003803982610963639
209,unprecedented,0.0001461365374336781
210,unmatched,0.00027243981852024906
211,unmanned,0.00015862331027653923
212,unlike,5.744092696291403e-05
213,unless,2.8261466684009694e-05
214,university,2.1253433114023858e-05
215,united,3.817809485756326e-05
216,unite,0.0001644813759441342
217,unit,1.908904742878163e-05
218,unique,4.708058124335078e-05
219,unions,0.00015464119190526938
220,unionize,0.00013621990926012453
221,union,0.00037664464994680626
222,unifying,0.00011884248138735684
223,uniform,5.744092696291403e-05
224,unfazed,0.0005705973916445458
225,unfairly,0.00011884248138735684
226,unexpected,6.486326009929942e-05
227,unemployment,5.066486770042438e-05
228,undulates,0.00019019913054818194
229,underused,0.00013621990926012453
230,undertaking,0.00011884248138735684
231,understood,6.65748796553134e-05
232,understanding,3.32874398276567e-05
233,understand,1.4878532572440559e-05
234,uncommonly,0.00015862331027653923
235,uncommon,7.306826871683905e-05
236,uncertainty,8.22406879720671e-05
237,uncertain,8.22406879720671e-05
238,unbelievably,0.00019019913054818194
239,unbearably,0.00019019913054818194
240,unable,5.652293336801939e-05
241,ump,0.00019019913054818194
