,term,weight
0,zoning,0.00032043546953486313
1,zip,0.0007010097143599968
2,zero,0.0004201644310255669
3,zakim,6.37281558509088e-05
4,young,0.000135935551214154
5,ymca,0.00024239300418539084
6,yet,4.325222084086718e-05
7,yes,1.2976651277776894e-05
8,years,0.00011472980898537556
9,yearning,0.0004976595195345794
10,year,0.0001509602749807573
11,xa0trailing,0.0004976595195345794
12,xa0the,0.0003564218952949655
13,xa0overcrowding,0.0004976595195345794
14,xa0illegal,0.0004976595195345794
15,xa0bu,0.0004976595195345794
16,xa0along,0.0004976595195345794
17,xa0a,0.00124512241699038
18,xa0,4.9431109532419635e-05
19,wrote,0.00023308526879452481
20,wrong,1.6648947771037488e-05
21,written,2.903239929545199e-05
22,writing,0.0001162558293420389
23,wrist,0.00024239300418539084
24,would,0.00021738279597229053
25,worthless,0.0004150408056634599
26,worst,3.875194311401297e-05
27,worse,0.00011612959718180796
28,worries,0.00015029524073845936
29,worried,2.464888227191255e-05
30,world,6.178888691552454e-06
31,working,6.178888691552454e-06
32,workers,1.6648947771037488e-05
33,worker,2.0531200969431072e-05
34,worked,6.6449337541677e-05
35,work,7.548013749037865e-05
36,woodwork,0.0004976595195345794
37,wood,0.00020231075989155377
38,women,3.707333214931473e-05
39,woman,5.6956575035723135e-05
40,without,4.325222084086718e-05
41,within,0.00018985525011907715
42,wishes,8.079766806179696e-05
43,wished,5.009841357948646e-05
44,wire,0.00021518427105535155
45,wins,3.875194311401297e-05
46,windows,7.394664681573765e-05
47,window,5.190660511110758e-05
48,win,8.324473885518743e-05
49,willing,0.00022183994044721296
50,william,2.595330255555379e-05
51,widespread,5.009841357948646e-05
52,widely,2.464888227191255e-05
53,wide,2.903239929545199e-05
54,wi,9.126772714128199e-05
55,whose,1.8536666074657364e-05
56,whole,2.8478287517861567e-05
57,white,6.178888691552454e-06
58,whether,4.325222084086718e-05
59,wgbh,0.0001615953361235939
60,western,0.00015500777245605187
61,west,1.2357777383104909e-05
62,wentworth,0.000547606362847692
63,went,4.9431109532419635e-05
64,welts,0.0004976595195345794
65,wellington,0.00033177301302305296
66,wellesley,0.00015029524073845936
67,well,9.268333037328681e-05
68,welcomed,3.371845998192563e-05
69,welcome,7.394664681573765e-05
70,weeks,0.00015571981533332274
71,weekend,0.00011654263439726241
72,week,4.9431109532419635e-05
73,wednesday,5.190660511110758e-05
74,ways,7.785990766666137e-05
75,way,5.4345698993072634e-05
