,term,weight
0,zero,6.585446306790192e-05
1,years,0.00019756338920370577
2,world,0.00013477300474922486
3,worked,0.00013477300474922486
4,work,0.00013170892613580384
5,winthrop,0.0019276668626404426
6,william,0.0004141094588893589
7,widely,0.0009638334313202213
8,whose,6.585446306790192e-05
9,wharf,0.002467878882770678
10,weymouth,0.0010927391750085616
11,weston,0.001233939441385339
12,weekend,0.00020705472944467944
13,week,0.00013170892613580384
14,way,0.00013170892613580384
15,waterfront,0.001470924107596714
16,water,0.00013477300474922486
17,watching,0.00013477300474922486
18,ward,0.0015645224803693535
19,war,0.00036314438227108873
20,want,6.585446306790192e-05
21,walking,0.0005660895904080272
22,walkers,0.004521648306651998
23,walk,0.0004043190142476746
24,waiting,0.00036314438227108873
25,volunteer,0.000537637768428694
26,visitors,0.004412772322790142
27,visitor,0.0013900290942117483
28,visit,0.0002830447952040136
29,views,0.00044782351388582763
30,vast,0.0006332503923362068
31,using,0.0002830447952040136
32,users,0.0006332503923362068
33,used,0.0006211641883340384
34,use,0.00020705472944467944
35,us,0.00013477300474922486
36,unknown,0.0010927391750085616
37,units,0.00044782351388582763
38,unimproved,0.0036182919042506726
39,underused,0.0025914071923100134
40,undertaken,0.0017623467657390168
41,u2007friends,0.0036182919042506726
42,u2003,0.005182814384620027
43,typical,0.000537637768428694
44,two,0.00013170892613580384
45,twenty,0.00013170892613580384
46,twelve,0.00020705472944467944
47,truly,0.000537637768428694
48,transportation,0.0006211641883340384
49,train,0.00044782351388582763
50,trail,0.000735462053798357
51,tract,0.002260824153325999
52,times,0.00020705472944467944
53,three,0.0002634178522716077
54,thousands,0.00020705472944467944
55,thousand,0.0002634178522716077
56,though,0.00013477300474922486
57,thirty,6.585446306790192e-05
58,thirteen,6.585446306790192e-05
59,think,0.0004141094588893589
60,term,0.0002830447952040136
61,target,0.000537637768428694
62,taking,0.00013477300474922486
63,take,0.0002634178522716077
64,taft,0.0036182919042506726
65,system,6.585446306790192e-05
66,surrounded,0.000537637768428694
67,sunset,0.0013900290942117483
68,summer,0.00013477300474922486
69,suggested,0.000537637768428694
70,straight,0.000735462053798357
71,still,0.00013477300474922486
72,stays,0.0015645224803693535
73,station,0.0004141094588893589
74,state,0.0006585446306790193
75,staging,0.001990718143260881
76,staff,0.0002830447952040136
77,squantum,0.012957035961550067
78,sponsored,0.0008452516421742414
79,spectacle,0.002260824153325999
80,spaces,0.00044782351388582763
81,space,0.0004043190142476746
82,sottile,0.007236583808501345
83,soon,0.0002830447952040136
84,somewhere,0.0008452516421742414
85,snowman,0.0025914071923100134
86,skyline,0.0015645224803693535
87,six,6.585446306790192e-05
88,situation,0.00044782351388582763
89,site,0.0004043190142476746
90,sisk,0.007236583808501345
91,side,0.00013477300474922486
92,show,6.585446306790192e-05
93,shot,0.0002830447952040136
94,shortage,0.001233939441385339
95,shoreline,0.002260824153325999
96,shore,0.0008956470277716553
97,ship,0.0009638334313202213
98,shea,0.0017623467657390168
99,seventeen,6.585446306790192e-05
