,term,weight
0,zus,8.6326418611947e-05
1,zone,0.0001814966678286624
2,zero,8.013006825648676e-05
3,zaroob,8.6326418611947e-05
4,zaftigs,8.6326418611947e-05
5,youtube,0.00013265511644181116
6,youth,6.410593917848162e-05
7,youngest,3.509379940010541e-05
8,younger,3.205296958924081e-05
9,young,6.077679665150513e-05
10,yoskowitz,0.000172652837223894
11,york,0.00011480061589728745
12,yore,7.199497834232434e-05
13,yolky,0.000172652837223894
14,yogurt,0.0001078789978435635
15,yet,6.915973396197585e-05
16,yes,3.4656080592815626e-05
17,yelling,9.949133733135836e-05
18,years,9.74130241549447e-05
19,yearbook,7.199497834232434e-05
20,year,0.0003151150241821443
21,yeah,0.00010428374708479841
22,yarmouth,0.0002943266106361111
23,yariza,8.6326418611947e-05
24,yards,2.943973995953287e-05
25,yard,6.410593917848162e-05
26,yankees,4.749521938007546e-05
27,xa0,0.0003119047253353406
28,www,6.182665964969812e-05
29,wu,0.0006898638125347972
30,wry,7.199497834232434e-05
31,wrote,9.454168368011908e-05
32,wrong,4.273729278565442e-05
33,written,4.532489906973063e-05
34,writing,1.7546899700052704e-05
35,writer,2.5654283450400713e-05
36,write,1.2827141725200356e-05
37,wrists,7.199497834232434e-05
38,wright,0.0003732690068744923
39,wrapped,4.599092083565315e-05
40,wrap,3.316377911045279e-05
41,would,0.0003086841053212842
42,worthy,2.6070936771199602e-05
43,worthwhile,3.316377911045279e-05
44,worth,1.3505954811445583e-05
45,worst,6.043319875964084e-05
46,worship,4.2046658662301584e-05
47,worse,0.00016619129658901232
48,worry,6.413570862600179e-05
49,worries,2.943973995953287e-05
50,worried,3.205296958924081e-05
51,worn,2.2995460417826575e-05
52,world,5.4662810317310734e-05
53,worksite,0.00014398995668464868
54,works,2.0258932217168373e-05
55,workplaces,6.182665964969812e-05
56,workload,0.00014398995668464868
57,working,0.00015313941091580366
58,workforce,2.0166296425406932e-05
59,workers,0.0001212962820748547
60,worker,6.413570862600179e-05
61,worked,3.858551316516052e-05
62,work,6.913182359383172e-05
63,wore,6.413570862600179e-05
64,words,8.664020148203906e-05
65,word,5.342161598206802e-05
66,worcester,4.532489906973063e-05
67,wool,0.00016818663464920634
68,woods,2.0166296425406932e-05
69,wooden,0.0001839636833426126
70,wood,6.043319875964084e-05
71,wonderful,0.00013797276250695944
72,wondered,3.732690068744923e-05
73,wonder,0.00010083148212703466
74,women,3.858551316516052e-05
75,woman,8.891965795111181e-05
76,wobbly,7.199497834232434e-05
77,witnesses,9.064979813946127e-05
78,witness,7.018759880021082e-05
79,without,3.9519847978271916e-05
80,within,9.64637829129013e-06
81,withheld,6.182665964969812e-05
82,wish,1.510829968991021e-05
83,wise,4.749521938007546e-05
84,wires,3.732690068744923e-05
85,winthrop,2.2995460417826575e-05
86,winterwyman,0.000172652837223894
87,winters,7.199497834232434e-05
88,winter,0.00011263226192665078
89,winnings,7.199497834232434e-05
90,winning,5.342161598206802e-05
91,winners,0.00012613997598690476
92,winner,0.00010428374708479841
93,wings,2.6070936771199602e-05
94,wing,2.2995460417826575e-05
95,winds,0.00039796534932543345
96,windows,3.021659937982042e-05
97,window,3.8481425175601066e-05
98,win,5.342161598206802e-05
99,willing,1.2827141725200356e-05
100,williams,7.696285035120213e-05
101,william,1.4819942991851968e-05
102,willful,0.000215757995687127
103,wild,8.773449850026351e-05
104,wiffle,6.182665964969812e-05
105,wife,4.727084184005954e-05
106,wielding,5.393949892178175e-05
107,wielded,0.00021598493502697301
108,widespread,1.7546899700052704e-05
109,wider,2.943973995953287e-05
110,widely,2.2995460417826575e-05
111,whose,2.6710022752162256e-05
112,whole,6.430918860860087e-06
113,whoever,2.6070936771199602e-05
114,whitefish,8.6326418611947e-05
115,white,5.433979097012388e-05
116,whether,3.215459430430043e-05
117,wherever,0.00014930760274979693
118,wherein,8.6326418611947e-05
119,whenever,0.00010083148212703466
120,wheelbarrow,7.199497834232434e-05
121,whatever,7.696285035120213e-05
122,wet,0.0001564256206271976
123,westfield,0.00012613997598690476
124,western,1.2827141725200356e-05
125,westborough,0.00014930760274979693
126,west,2.572367544344035e-05
127,went,0.00010373960094296377
128,wellesley,1.510829968991021e-05
129,well,4.823189145645065e-05
130,weld,6.632755822090558e-05
131,welcoming,2.6070936771199602e-05
132,welcomes,4.2046658662301584e-05
133,welcomed,0.00018249655739839722
134,weir,6.182665964969812e-05
135,weights,6.182665964969812e-05
136,weight,2.2995460417826575e-05
137,weigh,6.632755822090558e-05
138,weeks,0.0001472883425194664
139,weekday,6.04988892762208e-05
140,week,2.8281200561112977e-05
141,wednesdays,6.182665964969812e-05
142,wednesday,3.537005373473047e-05
143,weddings,4.2046658662301584e-05
144,wedding,2.2995460417826575e-05
145,wed,5.393949892178175e-05
146,website,3.3764887028613956e-05
147,weather,8.97899920764025e-05
148,wears,0.00012613997598690476
149,wearing,4.273729278565442e-05
150,wear,5.198412088922343e-05
151,weapons,0.00014719869979766434
152,weapon,0.0001209977785524416
153,weaknesses,7.199497834232434e-05
154,weaker,0.00014398995668464868
155,weak,4.2046658662301584e-05
156,wcc,8.6326418611947e-05
157,ways,5.342161598206802e-05
158,way,3.77082674148173e-05
159,waves,0.00013797276250695944
160,watertown,5.2640699100158105e-05
161,waters,9.949133733135836e-05
162,water,5.14473508868807e-05
163,watched,0.00011544427552680321
164,watch,8.664020148203906e-06
165,washington,5.927977196740787e-05
166,washing,5.887947991906574e-05
167,washed,0.00014248565814022635
168,warwick,9.499043876015092e-05
169,wartime,4.749521938007546e-05
170,warren,7.018759880021082e-05
171,warrant,0.00014116407497784855
172,warning,9.064979813946127e-05
173,warmth,8.409331732460317e-05
174,warm,0.00012827141725200357
175,wardrobe,0.0001078789978435635
176,war,8.664020148203906e-05
177,wants,6.064814103742735e-05
178,wanting,0.00010083148212703466
179,wanted,6.915973396197585e-05
180,want,4.3992978650620186e-05
181,waltham,1.510829968991021e-05
182,walter,0.0001766384397571972
183,walsh,0.00012155359330301026
184,walls,3.205296958924081e-05
185,walloped,0.00025897925583584096
186,walled,5.393949892178175e-05
187,wall,1.3505954811445583e-05
188,walks,1.2827141725200356e-05
189,walking,1.3505954811445583e-05
190,walked,0.00011544427552680321
191,walk,2.8939134873870392e-05
192,walgreens,0.000215757995687127
193,waldo,6.182665964969812e-05
194,waivers,7.199497834232434e-05
195,waiting,8.664020148203906e-05
196,waited,1.0684323196413605e-05
197,wait,4.273729278565442e-05
198,waist,2.943973995953287e-05
199,wager,8.6326418611947e-05
200,waffle,7.199497834232434e-05
201,vulnerable,1.7546899700052704e-05
202,vulliez,8.6326418611947e-05
203,vowing,0.00012365331929939624
204,vowed,5.2141873542399204e-05
205,vouchers,6.182665964969812e-05
206,voting,3.8481425175601066e-05
207,voters,7.554149844955106e-05
208,voter,8.773449850026351e-05
209,voted,6.410593917848162e-05
210,vote,0.00013505954811445582
211,volunteers,7.018759880021082e-05
212,volunteered,5.2141873542399204e-05
213,volunteer,8.97899920764025e-05
214,voluntary,8.409331732460317e-05
215,voices,4.0332592850813864e-05
216,voiced,8.83192198785986e-05
217,voice,2.5654283450400713e-05
218,vogue,8.6326418611947e-05
219,vocabulary,0.00028797991336929735
220,vivien,0.000345305674447788
221,vivid,0.00014248565814022635
222,visiting,0.00010428374708479841
223,visit,6.7529774057227915e-06
224,virginia,2.6070936771199602e-05
225,violent,1.7546899700052704e-05
226,violence,1.2827141725200356e-05
227,violations,0.0002529500645960923
228,violation,0.00016096822292478602
229,violating,2.6070936771199602e-05
230,vineyard,6.898638125347972e-05
231,vinaigrette,0.00012365331929939624
232,village,0.00010261713380160285
233,vigils,9.499043876015092e-05
234,vigil,0.00011198070206234769
235,view,3.8481425175601066e-05
236,video,7.797618133383515e-05
237,vida,4.749521938007546e-05
238,victory,6.04988892762208e-05
239,victoria,2.2995460417826575e-05
240,victims,4.273729278565442e-05
241,victim,6.931216118563125e-05
242,vice,8.97899920764025e-05
243,veterinarian,0.000172652837223894
244,veterans,4.0332592850813864e-05
245,veteran,1.0684323196413605e-05
246,vest,4.749521938007546e-05
247,vessels,4.749521938007546e-05
248,vessel,0.0001078789978435635
249,vertical,7.465380137489847e-05
250,version,0.00012086639751928168
251,versatile,3.732690068744923e-05
252,veronica,5.393949892178175e-05
253,verizon,5.887947991906574e-05
254,ventures,3.316377911045279e-05
255,ventilation,8.6326418611947e-05
256,vehicles,3.205296958924081e-05
257,vehicle,0.00012086639751928168
258,vegetables,0.00013265511644181116
259,veered,4.749521938007546e-05
260,veal,4.749521938007546e-05
261,vast,1.510829968991021e-05
262,varsity,4.749521938007546e-05
263,varnishkes,8.6326418611947e-05
264,various,7.696285035120213e-05
265,variety,4.0332592850813864e-05
266,varied,0.00012613997598690476
267,vandalism,6.182665964969812e-05
268,van,1.7546899700052704e-05
269,valley,2.2995460417826575e-05
270,validate,0.00014398995668464868
271,valenzuela,7.199497834232434e-05
272,vacuum,3.732690068744923e-05
273,vacations,4.749521938007546e-05
274,vacation,5.2141873542399204e-05
275,vacant,2.2995460417826575e-05
276,va,2.2995460417826575e-05
277,utility,0.0001766384397571972
278,usually,8.664020148203906e-06
279,ushry,0.00028797991336929735
280,useful,0.00013265511644181116
281,used,8.397967695382781e-05
282,use,0.00011361956293753177
283,uscis,7.199497834232434e-05
284,uscho,8.6326418611947e-05
285,usaamah,0.0007769377675075229
286,usa,2.6070936771199602e-05
287,us,9.967924234333135e-05
