,term,weight
0,zoning,0.0005546356062584394
1,zipcar,0.00019092565312604358
2,zero,0.00011368737230392276
3,zealand,0.0002485364954261522
4,zba,0.00636706484793164
5,york,2.7146239949234046e-05
6,yet,1.985819016413166e-05
7,yes,3.4828425409631274e-05
8,years,6.315965127995708e-05
9,year,0.00028436759314094765
10,yarmouth,0.00016902302740463718
11,xaverian,0.00043366192199347805
12,wyotech,0.00034702288084245583
13,wrote,2.7146239949234046e-05
14,would,0.0001809611956351485
15,worth,0.00010858495979693619
16,worry,5.156372459354483e-05
17,worried,0.00012884947650167677
18,worldwide,0.00016902302740463718
19,works,5.429247989846809e-05
20,working,5.957457049239498e-05
21,workers,6.965685081926255e-05
22,worked,3.8777399064674675e-05
23,work,6.315965127995708e-05
24,words,3.4828425409631274e-05
25,word,0.00012884947650167677
26,worcester,0.0003644023996819605
27,woods,8.106633396811778e-05
28,wood,6.073373328032675e-05
29,wonder,0.00016213266793623556
30,women,2.5851599376449782e-05
31,woman,1.985819016413166e-05
32,woburn,0.0001500501100098485
33,without,0.00013900733114892164
34,within,1.2925799688224891e-05
35,withered,0.0002485364954261522
36,wish,0.00018220119984098024
37,winthrop,9.24392677097399e-05
38,winner,0.0017816399592530895
39,wine,0.0001214674665606535
40,windy,0.00021683096099673902
41,winchester,0.0001500501100098485
42,win,0.00017179930200223568
43,wilmington,0.0003999444324778049
44,williams,0.0002578186229677241
45,william,0.00029787285246197495
46,wilke,0.00034702288084245583
47,wife,2.7146239949234046e-05
48,wi,0.00016902302740463718
49,whose,3.789579076797425e-05
50,whole,6.462899844112446e-05
51,whittier,0.0007456094862784566
52,whitman,0.0005070690822139115
53,white,1.985819016413166e-05
54,whether,1.2925799688224891e-05
55,weymouth,0.00010480235054429939
56,westwood,0.00011834457558043533
57,weston,0.0004733783023217413
58,westford,0.000650492882990217
59,western,0.00010312744918708965
60,westborough,0.0001500501100098485
61,west,0.00019388699532337338
62,went,3.971638032826332e-05
63,wenham,0.0008682361156270418
64,wellesley,0.0001214674665606535
65,well,2.5851599376449782e-05
66,welcome,0.00014107328397666697
67,weeks,3.4828425409631274e-05
68,weekend,9.92909508206583e-05
69,week,5.0527721023965664e-05
70,wednesday,5.1703198752899565e-05
71,wedding,9.24392677097399e-05
72,webster,0.0005332592433037398
73,website,0.00027146239949234045
74,weather,5.156372459354483e-05
75,ways,0.00012884947650167677
76,wayland,0.00021683096099673902
77,way,6.947561640795279e-05
78,watertown,0.00028214656795333393
79,waters,0.0003999444324778049
80,water,2.5851599376449782e-05
81,watching,5.1703198752899565e-05
82,watch,0.0001393137016385251
83,washington,9.92909508206583e-05
84,warrior,0.00021683096099673902
85,warrant,0.00016213266793623556
86,warn,0.00016902302740463718
87,wareham,0.00019092565312604358
88,ware,0.00019092565312604358
89,wants,3.4828425409631274e-05
90,wanted,3.971638032826332e-05
91,want,1.8947895383987125e-05
92,wanda,0.0002894120385423473
93,waltham,0.0001214674665606535
94,walsh,0.0003529011193400426
95,walpole,0.0003999444324778049
96,walls,4.294982550055892e-05
97,wallet,0.00016902302740463718
98,wall,2.7146239949234046e-05
99,walk,5.1703198752899565e-05
100,wakefield,0.000355033726741306
101,wake,0.00016213266793623556
102,waited,4.294982550055892e-05
103,wait,8.589965100111784e-05
104,wachusett,0.0002894120385423473
105,wach,0.0002894120385423473
106,vs,0.0010480235054429938
107,voted,0.00017179930200223568
108,vote,8.143871984770213e-05
109,voiced,0.00023668915116087066
110,voc,0.0005788240770846946
111,vista,0.0004970729908523044
112,visitors,7.053664198833348e-05
113,visit,2.7146239949234046e-05
114,vision,0.00024319900190435334
115,violent,7.053664198833348e-05
116,violence,5.156372459354483e-05
117,violations,0.0001848785354194798
118,violation,0.0004621963385486995
119,vineyard,0.0001848785354194798
120,village,0.0002578186229677241
121,views,4.294982550055892e-05
122,victim,0.00010448527622889382
123,via,2.7146239949234046e-05
124,veteran,0.00012884947650167677
125,verdict,0.001084154804983695
126,vehicles,4.294982550055892e-05
127,vegetables,0.00013331481082593495
128,various,0.00010312744918708965
129,variety,0.0003242653358724711
130,vanilla,0.00016902302740463718
131,valley,0.0008319534093876592
132,valent,0.00034702288084245583
133,va,9.24392677097399e-05
134,uxbridge,0.0002485364954261522
135,utopia,0.00034702288084245583
136,using,2.7146239949234046e-05
137,used,0.00013900733114892164
138,use,3.971638032826332e-05
139,usage,0.00021683096099673902
140,us,6.462899844112446e-05
141,urged,3.4828425409631274e-05
142,upstream,0.0002485364954261522
143,upper,0.00021160992596500045
144,upon,5.429247989846809e-05
145,updates,0.00023668915116087066
146,unveiled,8.106633396811778e-05
147,unveil,0.0002894120385423473
148,unmet,0.0002485364954261522
149,unlimited,0.00019092565312604358
150,unlike,0.0001214674665606535
151,unless,7.053664198833348e-05
152,unlawful,9.24392677097399e-05
153,university,0.0002780146622978433
154,universities,0.0003526832099416674
155,units,8.589965100111784e-05
156,united,2.7146239949234046e-05
157,unit,0.00012884947650167677
158,unique,7.053664198833348e-05
159,unions,9.24392677097399e-05
160,union,0.00010448527622889382
161,unfair,0.00011834457558043533
162,underserved,0.00011834457558043533
163,undergraduate,0.0002666296216518699
164,unable,0.00010312744918708965
165,ultra,0.0001500501100098485
166,u2009,8.589965100111784e-05
167,type,6.073373328032675e-05
168,tyngsborough,0.0002894120385423473
169,two,0.0002273747446078455
170,twitter,8.589965100111784e-05
171,twins,0.0001500501100098485
172,twice,7.943276065652664e-05
173,twenty,0.0001578991281998927
174,twelve,0.0008141857967293981
175,tv,5.156372459354483e-05
176,turns,3.4828425409631274e-05
