,term,weight
0,—for,9.315357611492666e-05
1,émile,9.315357611492666e-05
2,£1m,4.657678805746333e-05
3,zuzeck,9.315357611492666e-05
4,zooms,0.00011653309269758224
5,zoo,4.027891276195487e-05
6,zoning,0.0001265974500481914
7,zone,9.467301453437288e-06
8,zimmer,0.00013973036417238996
9,zero,6.357881253337405e-05
10,zealot,0.00046576788057463325
11,zealand,7.768872846505484e-05
12,zakim,0.0005125139678856894
13,youngworth,0.0013973036417238996
14,younger,3.643519590417248e-06
15,young,1.9083653913515164e-05
16,york,5.863727391447813e-05
17,yield,1.7893274569348556e-05
18,yet,0.00012527053972638508
19,yesterday,4.765198941215767e-05
20,yes,6.92079054273449e-05
21,yellow,4.152474325640694e-05
22,yeast,3.884436423252742e-05
23,years,0.00015004599757876275
24,year,0.00016360947758588254
25,yeah,1.7893274569348556e-05
26,yea,4.657678805746333e-05
27,yawning,0.0001667906110961019
28,yards,9.467301453437288e-06
29,yale,1.7893274569348556e-05
30,yahoo,9.315357611492666e-05
31,xvi,4.657678805746333e-05
32,xa0sword,4.657678805746333e-05
33,xa0,1.5613898656512406e-05
34,wu,0.0003578654913869711
35,wtop,9.315357611492666e-05
36,wrote,5.3306612649525574e-05
37,wrong,8.380095057959669e-05
38,written,1.0930558771251742e-05
39,writing,5.7061008520483196e-05
40,writes,0.00015375419036570682
41,writer,1.729394541294889e-05
42,wriggling,4.657678805746333e-05
43,wrestling,2.910266230896217e-05
44,wrapped,4.9628130224166106e-05
45,wrangle,0.00032603751640224323
46,wpri,2.910266230896217e-05
47,wow,1.7893274569348556e-05
48,would,0.00023651318262415144
49,worthy,0.0001208367382858646
50,worthwhile,3.335812221922038e-05
51,worthington,3.884436423252742e-05
52,worth,1.5613898656512406e-05
53,worst,0.00010597044439518308
54,worship,2.0139456380977434e-05
55,worsen,4.657678805746333e-05
56,worse,6.92079054273449e-05
57,worry,4.6746087311056106e-05
58,worrisome,3.884436423252742e-05
59,worried,3.739686984884489e-05
60,worn,2.2685967291680236e-05
61,worlds,2.2685967291680236e-05
62,world,3.390870001779949e-05
63,workweek,3.884436423252742e-05
64,works,9.595190276914604e-05
