,term,weight
0,zero,2.8241272281342946e-05
1,zerai,0.0023275225877088987
2,youth,9.602314862545543e-05
3,young,2.8898277701946247e-05
4,years,0.00014120636140671473
5,year,0.00024005081439141504
6,xa0investigators,0.0007758408625696329
7,xa0fifteen,0.0007758408625696329
8,xa0,2.8898277701946247e-05
9,writer,0.0002880694458763663
10,would,0.00012708572526604325
11,worst,0.00027156544779348136
12,world,2.8241272281342946e-05
13,worked,2.8241272281342946e-05
14,work,0.00016944763368805768
15,women,8.669483310583874e-05
16,woman,0.00014449138850973123
17,witnessed,0.00062000085718661
18,within,0.00026638235522584235
19,winchell,0.0015516817251392658
20,willing,0.0002880694458763663
21,william,2.8898277701946247e-05
22,whose,5.7796555403892494e-05
23,whitman,0.00033546781265861303
24,white,8.669483310583874e-05
25,whether,4.236190842201442e-05
26,west,0.0008380500533564411
27,weekly,0.0005437212755409273
28,wednesday,2.8898277701946247e-05
29,weaver,0.0038822400138393397
30,weapon,0.00015769913796502257
31,wealthy,0.00031539827593004513
32,way,0.0001553269975473862
33,waves,0.0011336569887615976
34,water,2.8898277701946247e-05
35,watchmen,0.0038822400138393397
36,wanted,8.669483310583874e-05
37,waltham,0.0005437212755409273
38,walls,0.00019204629725091087
39,walked,0.00013319117761292118
40,wake,9.602314862545543e-05
41,vulcan,0.0015516817251392658
42,vs,0.0007029214832885443
43,vintage,0.001006403437975839
44,veteran,0.0001820729702312985
45,vast,0.00034584386310930926
46,varied,0.0012805604320531398
47,vans,0.0011336569887615976
48,using,0.00013319117761292118
49,used,0.00013319117761292118
50,us,0.00012708572526604325
51,urban,0.00038409259450182174
52,upper,0.00019204629725091087
53,unloaded,0.0012940800046131132
54,unlawfully,0.00042685347735104664
55,unjust,0.0012805604320531398
56,unity,0.0007029214832885443
57,undocumented,0.0007029214832885443
58,understanding,0.0005761388917527325
59,understand,0.0002335982763973808
60,two,0.0002118095421100721
61,twhy,0.0015516817251392658
62,twenty,0.00012708572526604325
63,turn,4.439705920430706e-05
64,try,8.669483310583874e-05
65,trust,0.0005761388917527325
66,truly,0.00062000085718661
67,true,4.236190842201442e-05
68,trovato,0.0006470400023065566
69,trouble,0.0002880694458763663
70,tries,0.00062000085718661
71,trench,0.001006403437975839
72,training,0.0002880694458763663
73,train,8.669483310583874e-05
74,traffic,2.8898277701946247e-05
