,term,weight
0,zoning,0.000524012544514707
1,zone,2.222051761507277e-05
2,zon,0.0005981746351626755
3,zero,0.00018381512863023414
4,zebrafish,0.00029908731758133776
5,zakim,0.001034095854437469
6,yup,0.00010710261173213685
7,yum,0.00014954365879066888
8,youth,2.1393880476236628e-05
9,youngsters,9.343964630755873e-05
10,younger,1.5008722632438459e-05
11,young,9.469264202163577e-05
12,york,3.42302087619786e-05
13,yohanny,7.477182939533444e-05
14,yield,5.099859924902669e-05
15,yet,8.165276004929058e-06
16,yellow,3.0017445264876918e-05
17,yelling,3.983514365302164e-05
18,yelled,5.240125445147069e-05
19,yee,0.00012471723777008573
20,years,0.00014289233008625852
21,year,0.00023815388347709753
22,yarmouth,9.343964630755873e-05
23,yards,2.222051761507277e-05
24,xa0,8.557552190494651e-05
25,wrote,0.00011975834138030407
26,wrong,8.188750044936104e-05
27,written,0.000146227679373859
28,writing,3.509464304972616e-05
29,writers,0.0001397366785372552
30,writer,0.0001046887129137741
31,write,0.00015008722632438458
32,wrestling,0.00019398469402081441
33,wounds,4.516280572684173e-05
34,wounded,6.66615528452183e-05
35,would,0.00013200529541301976
36,worth,5.0131398717336584e-05
37,worst,6.0034890529753836e-05
38,worry,1.169821434990872e-05
39,worried,3.509464304972616e-05
40,worn,3.0396576433620564e-05
41,world,2.7850777065186993e-05
42,works,7.701796971445186e-05
43,working,0.0001882661481908823
44,workers,7.798217578252357e-05
45,worker,9.005233579463075e-05
46,worked,9.841185019068848e-05
47,work,0.00020609575028238375
48,wore,3.0017445264876918e-05
49,word,3.509464304972616e-05
50,worcester,6.0034890529753836e-05
51,wong,0.0020349496229106
52,wondered,0.00024453918744019655
53,wonder,4.444103523014554e-05
54,women,7.241202036948618e-05
55,woman,5.171341469788404e-05
56,wolfram,0.00014954365879066888
57,witnesses,1.3086089114221763e-05
58,witnessed,3.0396576433620564e-05
59,witness,1.85085030536942e-05
60,without,3.130022468556139e-05
61,within,4.679285739963488e-05
62,wiper,0.0004988689510803429
63,winter,1.71151043809893e-05
64,winston,9.343964630755873e-05
65,winning,1.5008722632438459e-05
66,winner,2.222051761507277e-05
67,wing,5.099859924902669e-05
68,windshield,0.00020399439699610676
69,windows,8.55755219049465e-06
70,window,2.567265657148395e-05
71,win,8.55755219049465e-06
72,willis,0.00016455238142310737
73,willingness,0.00010199719849805338
74,willing,1.5008722632438459e-05
75,williams,0.0001050610584270692
76,william,8.557552190494651e-05
77,wife,5.443517336619372e-06
78,widely,2.222051761507277e-05
79,wide,1.169821434990872e-05
80,whose,1.1140310826074796e-05
81,whole,1.6710466239112192e-05
82,white,3.899108789126179e-05
83,whip,8.227619071155368e-05
84,whether,0.00014547838723840906
85,wherever,4.516280572684173e-05
86,whenever,3.49341696343138e-05
87,wheelies,0.00012471723777008573
