,term,weight
0,would,0.000789084542677523
1,worth,0.0002691472727980082
2,worldwide,0.0016880025398450086
3,without,0.0003945422713387615
4,way,0.00013151409044625384
5,warned,0.0007252143728786536
6,vision,0.000565252179771329
7,village,0.0029008574915146143
8,vicinity,0.004514959477796003
9,venues,0.0067520101593800345
10,variations,0.0072258788028674685
11,usefulness,0.0051751474994356774
12,useful,0.0016880025398450086
13,use,0.0002630281808925077
14,us,0.0
15,urban,0.0002630281808925077
16,upgrading,0.0024642281743642125
17,university,0.0005382945455960164
18,universities,0.0007252143728786536
19,two,0.0
20,twenty,0.0
21,trouble,0.000565252179771329
22,trips,0.0008943221061329398
23,transportation,0.00041349687093242195
24,transit,0.0036260718643932677
25,transformed,0.0014687481843606244
26,transfers,0.004514959477796003
27,transfer,0.0019248152844412705
28,training,0.0007252143728786536
29,trace,0.0027759456763104444
30,torch,0.0027759456763104444
31,throughout,0.00041349687093242195
32,thousand,0.0
33,things,0.0002691472727980082
34,technology,0.0002691472727980082
35,system,0.00041349687093242195
36,student,0.0002691472727980082
37,still,0.0
38,standard,0.000565252179771329
39,stadium,0.001073684892572096
40,square,0.0010765890911920328
41,spokes,0.014451757605734937
42,south,0.00013151409044625384
43,somerville,0.0002691472727980082
44,social,0.0002630281808925077
45,small,0.0
46,shurtleff,0.014451757605734937
47,shelter,0.0008943221061329398
48,several,0.00013151409044625384
49,setting,0.001073684892572096
50,services,0.00013151409044625384
51,scope,0.0016880025398450086
52,schools,0.0002691472727980082
53,scattered,0.0014687481843606244
54,savvy,0.0027759456763104444
55,routes,0.0012646272628015966
56,route,0.0005382945455960164
57,roughly,0.0007252143728786536
58,rise,0.00041349687093242195
59,ring,0.0067520101593800345
60,rims,0.006026277891304852
61,revere,0.0007252143728786536
62,red,0.0002691472727980082
63,readily,0.0024642281743642125
64,rather,0.00041349687093242195
65,rail,0.00041349687093242195
66,radiating,0.012052555782609704
67,quality,0.0002691472727980082
68,public,0.0
69,prospering,0.0072258788028674685
70,proposed,0.001130504359542658
71,promises,0.0019248152844412705
72,promised,0.000565252179771329
73,promise,0.0002691472727980082
74,produced,0.0008943221061329398
75,prescient,0.0051751474994356774
76,point,0.0
77,platforms,0.0024642281743642125
78,planners,0.0014687481843606244
79,perhaps,0.0007252143728786536
80,path,0.00041349687093242195
81,parks,0.00041349687093242195
82,owned,0.00041349687093242195
83,outer,0.0027759456763104444
84,orange,0.0008943221061329398
85,one,0.0
86,olympics,0.002826260898856645
87,olympic,0.009837543167462338
88,olympian,0.006026277891304852
89,nso,0.003975546587873061
90,notion,0.0016880025398450086
91,northward,0.0072258788028674685
92,ninety,0.0
93,nine,0.0
94,neighborhood,0.00013151409044625384
95,needs,0.0003945422713387615
96,need,0.00013151409044625384
97,near,0.0002630281808925077
98,nbut,0.00041349687093242195
99,musings,0.006026277891304852
100,movement,0.000565252179771329
101,mid,0.00041349687093242195
102,medical,0.0005382945455960164
103,medford,0.001073684892572096
104,mbta,0.00041349687093242195
105,map,0.0012646272628015966
106,longwood,0.005551891352620889
107,long,0.0
108,locations,0.0002691472727980082
109,local,0.0
110,lines,0.002261008719085316
111,line,0.0005260563617850154
112,light,0.00013151409044625384
113,let,0.00013151409044625384
114,lengthy,0.0019248152844412705
115,largely,0.00041349687093242195
116,landmark,0.0016880025398450086
117,land,0.0002691472727980082
118,jobs,0.0002691472727980082
119,job,0.0
120,interstate,0.0008943221061329398
121,intersecting,0.0051751474994356774
122,intercepting,0.006026277891304852
123,intercept,0.0072258788028674685
124,including,0.0002691472727980082
125,improvements,0.0007252143728786536
126,imagining,0.006026277891304852
127,imagine,0.0020674843546621097
128,idea,0.0002691472727980082
129,hundred,0.0
130,humane,0.003975546587873061
131,hub,0.0014504287457573072
132,housing,0.0002630281808925077
133,hosting,0.0014687481843606244
134,homeless,0.0008943221061329398
135,hold,0.0002691472727980082
136,highway,0.0005382945455960164
137,higher,0.0002691472727980082
138,held,0.00013151409044625384
139,health,0.0002691472727980082
140,head,0.0
141,harvard,0.0010765890911920328
142,hardly,0.001130504359542658
143,hard,0.0002691472727980082
144,green,0.0002691472727980082
145,greatest,0.0008943221061329398
146,good,0.00013151409044625384
147,games,0.0016539874837296878
148,four,0.0
149,forgotten,0.0016880025398450086
150,five,0.0
151,first,0.0
152,figured,0.0012646272628015966
153,fields,0.001073684892572096
154,far,0.0002630281808925077
155,facility,0.0007252143728786536
156,facilities,0.000565252179771329
157,extolls,0.0072258788028674685
158,extinguished,0.003124416196003887
159,even,0.00013151409044625384
160,eight,0.0
161,efficient,0.0016880025398450086
162,education,0.0002691472727980082
163,economy,0.001073684892572096
164,economic,0.001130504359542658
165,durability,0.0072258788028674685
166,dudley,0.001073684892572096
167,dreamer,0.004514959477796003
168,downtown,0.00041349687093242195
169,dismantled,0.0051751474994356774
170,different,0.0
171,demand,0.00041349687093242195
172,delayed,0.0012646272628015966
173,debate,0.0007252143728786536
174,day,0.0
175,cultural,0.0007252143728786536
