,term,weight
0,zones,4.279259428617283e-05
1,zone,6.2564519212028e-05
2,zombie,0.0007539004632399186
3,zoe,0.00017557813354547366
4,zipping,0.00017557813354547366
5,ziploc,0.00021052900916896855
6,zigzags,0.00021052900916896855
7,zest,0.00017557813354547366
8,zero,4.705031197606764e-05
9,zdeno,0.00017557813354547366
10,zapata,0.0003511562670909473
11,zach,0.00013154523778079899
12,youth,1.2047404738829293e-05
13,young,0.00010978406127749117
14,york,3.614221421648788e-05
15,yet,7.663436353906353e-06
16,yes,2.6056449605459328e-05
17,yellow,4.225884976001808e-05
18,yell,0.00023165843404897762
19,yeast,0.000526734400636421
20,years,8.812951806992304e-05
21,year,8.429779989296988e-05
22,ybor,0.00021052900916896855
23,yaz,0.00017557813354547366
24,yard,2.112942488000904e-05
25,yandle,0.0004210580183379371
26,ya,0.00013154523778079899
27,xa0,4.818961895531717e-05
28,wrote,1.568343732535588e-05
29,wrong,8.23442965100893e-05
30,writing,3.2937718604035726e-05
31,writers,0.0002459033093990229
32,writer,7.36908912726385e-05
33,write,2.112942488000904e-05
34,wright,0.00014754198563941373
35,wriggled,0.00017557813354547366
36,wrapping,0.00011582921702448881
37,wow,9.103117612699885e-05
38,would,6.897092718515717e-05
39,worth,1.568343732535588e-05
40,worst,2.112942488000904e-05
41,worships,0.0007539004632399186
42,worser,0.0010526450458448427
43,worse,7.228442843297576e-05
44,worry,1.6468859302017863e-05
45,worried,1.6468859302017863e-05
46,worms,0.0001507800926479837
47,worm,0.00021052900916896855
48,world,0.0001176257799401691
49,works,4.818961895531717e-05
50,workouts,0.00013154523778079899
51,workout,0.0002050830216143154
52,working,6.0237023694146464e-05
53,workers,3.136687465071176e-05
54,worker,0.00019016482392008138
55,worked,8.433183317180504e-05
56,work,7.057546796410146e-05
57,wore,6.338827464002713e-05
58,words,0.0001646885930201786
59,wood,2.6056449605459328e-05
60,wonderland,5.6080300503503956e-05
61,wondered,4.918066187980458e-05
62,women,0.00010978406127749117
63,woman,1.915859088476588e-05
64,wolf,9.103117612699885e-05
65,without,4.598061812343811e-05
66,within,4.9406577906053586e-05
67,wistfully,0.00021052900916896855
68,wiseguys,0.0007023125341818946
69,wire,0.00013154523778079899
70,wiped,9.103117612699885e-05
71,winter,6.0237023694146464e-05
72,winnowing,0.00021052900916896855
73,winning,6.338827464002713e-05
74,winner,3.1282259606014e-05
75,wines,0.00013154523778079899
76,winery,0.0001507800926479837
77,wineries,0.00017557813354547366
78,winemaking,0.00021052900916896855
79,winemakers,0.0003511562670909473
80,winemaker,0.00017557813354547366
81,winegrowing,0.00021052900916896855
82,winegrowers,0.00021052900916896855
83,winegrower,0.00021052900916896855
84,wine,0.00047071853714790115
85,windows,1.2047404738829293e-05
86,wind,2.6056449605459328e-05
87,win,3.614221421648788e-05
88,william,6.0237023694146464e-05
89,wiggler,0.00021052900916896855
90,wife,2.2990309061719056e-05
91,wiersema,0.0006315870275069057
92,wielded,9.103117612699885e-05
93,widely,3.1282259606014e-05
94,wide,1.6468859302017863e-05
95,whose,2.352515598803382e-05
96,wholly,0.00013154523778079899
97,whiting,0.0001507800926479837
98,whitey,0.006190119976635922
99,whiteboard,0.00017557813354547366
100,white,1.568343732535588e-05
101,whispers,0.00013154523778079899
102,whined,0.00017557813354547366
103,whether,2.4094809477658586e-05
104,wherever,6.358063469793803e-05
105,whenever,4.918066187980458e-05
106,wharf,6.358063469793803e-05
107,whacking,0.0001507800926479837
108,wet,5.6080300503503956e-05
109,weston,4.918066187980458e-05
110,west,7.84171866267794e-06
111,wenzday,0.00021052900916896855
112,went,9.410062395213528e-05
113,wellesley,8.558518857234566e-05
114,well,0.0001568343732535588
115,weird,4.918066187980458e-05
116,weiner,0.00045234027794395113
117,weight,3.1282259606014e-05
118,weigh,7.179632125981415e-05
119,weeks,0.0001176257799401691
120,weekly,3.1282259606014e-05
121,weekend,1.2047404738829293e-05
122,week,7.057546796410146e-05
123,wednesday,3.614221421648788e-05
124,weddings,0.0001025415108071577
125,wedding,0.00011216060100700791
126,website,1.2047404738829293e-05
127,webb,0.00011582921702448881
128,wearing,3.614221421648788e-05
129,weaknesses,0.00011582921702448881
130,weaker,0.00013154523778079899
131,ways,3.614221421648788e-05
132,way,7.663436353906352e-05
133,waved,6.358063469793803e-05
134,wave,3.2937718604035726e-05
135,waters,6.358063469793803e-05
136,waterfront,3.1282259606014e-05
137,water,1.568343732535588e-05
138,watching,3.614221421648788e-05
139,watchers,9.103117612699885e-05
140,watched,1.6468859302017863e-05
141,watch,8.625890528945734e-05
142,waste,0.0002804015025175198
143,wasps,0.00021052900916896855
144,washington,4.225884976001808e-05
145,wars,0.0001435926425196283
146,warmed,8.08783414009939e-05
147,war,5.4892030638745585e-05
148,wants,1.6468859302017863e-05
149,wanted,7.228442843297576e-05
150,want,5.747577265429764e-05
151,wannabes,0.00017557813354547366
152,wannabe,0.0003511562670909473
153,walsh,5.4892030638745585e-05
154,walls,3.1282259606014e-05
155,wallow,0.0001507800926479837
156,walled,0.0001025415108071577
157,wall,2.352515598803382e-05
158,walking,6.338827464002713e-05
159,walked,1.2047404738829293e-05
160,walk,8.433183317180504e-05
161,waits,5.6080300503503956e-05
162,waited,4.225884976001808e-05
163,wailing,9.103117612699885e-05
164,vote,4.225884976001808e-05
165,volunteer,4.279259428617283e-05
166,voice,3.2937718604035726e-05
167,visually,0.00011582921702448881
168,visual,0.00029954816000320986
169,visits,2.6056449605459328e-05
170,visitors,2.4094809477658586e-05
171,visit,1.568343732535588e-05
172,vision,1.6468859302017863e-05
173,visible,0.00018422722818159628
174,violence,0.00012677654928005427
175,vintage,9.103117612699885e-05
176,vineyards,0.0006315870275069057
177,vince,0.00011582921702448881
178,village,2.112942488000904e-05
179,views,1.6468859302017863e-05
180,viewing,9.103117612699885e-05
181,viewers,0.00021538896377944243
182,vietnam,0.0001682409015105119
183,vidiots,0.0006315870275069057
184,video,3.614221421648788e-05
185,victims,0.00010564712440004521
186,victim,1.2047404738829293e-05
187,vice,1.6468859302017863e-05
188,vibrant,3.1282259606014e-05
189,vibe,5.6080300503503956e-05
190,via,4.225884976001808e-05
191,veterans,0.00011053633690895776
192,veteran,3.614221421648788e-05
193,versus,0.0003925621035245277
194,version,0.00025355309856010854
195,verdict,0.00012716126939587606
196,verde,0.0001025415108071577
197,venues,4.918066187980458e-05
198,venture,0.00021897581724209805
199,veiled,0.000789271426684794
200,vehicles,1.2047404738829293e-05
201,vehicle,4.225884976001808e-05
202,vegetable,5.6080300503503956e-05
203,vegas,6.358063469793803e-05
204,vaulter,0.00021052900916896855
205,vatrano,0.00021052900916896855
206,various,2.112942488000904e-05
207,variety,4.9406577906053586e-05
208,variation,0.00011582921702448881
209,vancouver,0.00013154523778079899
210,van,1.6468859302017863e-05
211,valleys,0.0003015601852959674
212,valley,4.918066187980458e-05
213,vain,0.0001025415108071577
214,vacations,9.103117612699885e-05
215,vacant,5.6080300503503956e-05
216,usually,6.587543720807145e-05
217,usual,3.684544563631925e-05
218,used,3.4485463592578584e-05
219,use,1.5326872707812705e-05
220,usc,0.00017557813354547366
221,usaamah,0.00026309047556159797
222,usa,8.08783414009939e-05
223,us,0.0
224,urged,1.2047404738829293e-05
225,urban,1.1495154530859528e-05
226,upstanders,0.00021052900916896855
227,upset,3.1282259606014e-05
228,upscale,4.279259428617283e-05
229,ups,4.279259428617283e-05
230,upper,2.6056449605459328e-05
231,upon,6.338827464002713e-05
232,unwritten,0.0003015601852959674
233,unusual,3.2937718604035726e-05
234,untainted,0.00021052900916896855
235,unsuccessful,5.6080300503503956e-05
236,unsolicited,0.00021052900916896855
237,unshowily,0.0010526450458448427
238,unresponsive,0.00013154523778079899
239,unpleasantness,0.00021052900916896855
240,unpleasant,0.0001507800926479837
241,unlike,1.6468859302017863e-05
242,unknown,3.1282259606014e-05
243,university,5.4892030638745585e-05
244,universities,2.112942488000904e-05
245,united,4.225884976001808e-05
246,uniqueness,0.00021052900916896855
247,unions,7.179632125981415e-05
248,union,1.2047404738829293e-05
249,uniforms,6.358063469793803e-05
250,uniform,6.358063469793803e-05
251,unhappy,0.0001435926425196283
252,unfathomable,0.00017557813354547366
253,underwear,0.0001507800926479837
254,understood,3.1282259606014e-05
255,understanding,1.6468859302017863e-05
256,understand,1.568343732535588e-05
257,uncorking,0.00021052900916896855
258,uncommon,5.6080300503503956e-05
259,uncle,4.918066187980458e-05
260,unchallenged,0.0010526450458448427
261,unbelievable,8.08783414009939e-05
262,unarticulated,0.0010526450458448427
263,umass,5.2112899210918655e-05
264,ultimately,3.1282259606014e-05
265,ulman,0.00021052900916896855
266,ugly,7.179632125981415e-05
267,ubiquitous,9.103117612699885e-05
268,u2009,7.816934881637798e-05
269,typically,2.112942488000904e-05
270,tyler,4.279259428617283e-05
271,tying,7.179632125981415e-05
272,two,0.0
273,twitter,2.112942488000904e-05
274,twine,0.00021052900916896855
275,twin,5.6080300503503956e-05
276,twenty,0.0
277,twelve,3.92085933133897e-05
278,tweeted,6.358063469793803e-05
279,twas,0.00011582921702448881
280,tv,4.225884976001808e-05
281,turns,2.112942488000904e-05
282,turning,1.2047404738829293e-05
283,turned,7.84171866267794e-06
284,turn,7.84171866267794e-06
285,tuneups,0.00021052900916896855
286,tunes,0.00013154523778079899
287,tumbled,0.00013154523778079899
288,tumble,0.00017557813354547366
289,tuesday,0.00010842664264946363
290,tuba,0.00021052900916896855
291,trying,1.2047404738829293e-05
292,try,5.4892030638745585e-05
293,truthful,0.0001507800926479837
294,truth,2.4094809477658586e-05
295,trust,1.6468859302017863e-05
296,trunks,0.0001025415108071577
297,true,1.6468859302017863e-05
298,trucks,2.112942488000904e-05
299,truck,2.112942488000904e-05
300,trove,0.00011582921702448881
301,trouble,1.6468859302017863e-05
302,trotted,0.00017557813354547366
303,tropical,0.0001025415108071577
304,trite,0.00017557813354547366
305,trish,0.0003015601852959674
306,tripped,0.00013154523778079899
307,trip,7.84171866267794e-06
308,trinidad,0.00011582921702448881
309,trimmed,0.0001507800926479837
310,tried,3.614221421648788e-05
311,trick,7.179632125981415e-05
312,tribute,3.684544563631925e-05
313,tribal,0.00013154523778079899
314,trend,4.279259428617283e-05
315,tree,6.338827464002713e-05
316,treated,1.6468859302017863e-05
317,treat,3.1282259606014e-05
318,treasurers,0.0001507800926479837
319,treasurer,0.000808783414009939
320,treasure,9.103117612699885e-05
321,treacherous,9.103117612699885e-05
322,travis,0.0001025415108071577
323,traveling,5.2112899210918655e-05
324,travel,6.338827464002713e-05
325,trash,0.0005732418913201052
326,trappings,0.0003015601852959674
327,transparency,4.279259428617283e-05
328,transmitted,0.0001507800926479837
329,transformations,0.00017557813354547366
330,transformation,6.358063469793803e-05
331,trait,0.0001507800926479837
332,trains,3.1282259606014e-05
333,trainers,0.00011582921702448881
334,train,2.6056449605459328e-05
335,trailed,0.00011582921702448881
336,tragedy,3.1282259606014e-05
337,traditional,3.614221421648788e-05
338,traded,5.6080300503503956e-05
339,trade,6.338827464002713e-05
340,track,4.818961895531717e-05
341,trace,8.08783414009939e-05
342,town,7.057546796410146e-05
343,towering,5.6080300503503956e-05
344,toward,1.5326872707812705e-05
345,tours,7.36908912726385e-05
346,tournament,0.0001435926425196283
347,touraine,0.00021052900916896855
348,tour,0.00016903539904007233
349,toughens,0.00021052900916896855
350,tough,9.881315581210717e-05
351,touched,5.6080300503503956e-05
352,toted,0.00021052900916896855
