,word0,word1,word2,word3,word4,word5
0,keisha,”were,n“so,nataly,grieved,adeptly
1,pine,inn,trevisan,downie,noverall,lyndia
2,stuart,dimaiti,“learn,childbirth,watters,valdez
3,maureen,ellen,peek,brodoff,inconspicuous,sneak
4,downie,lyndia,solvable,reinvented,570,pine
5,tawanna,nataly,”kim,‘congratulations,educations,nephews
6,mission,hill,clair,copp’s,sketching,giordano
7,tameka,tutored,cris,’’manny,”archer,‘mom
8,keegan,few,ramrod,apex,cadet,fumbled
9,ellen,maureen,lipsey,degeneres,sasanov,she
10,siddiqui,karachi,fowzia,khan,khalid,aafia
11,tran,ordained,redemptorist,seminarians,domurat,curate
12,bennett,flimsiest,bennett’s,sharita,robert’s,stuart’s
13,cortes,traub,wojnar,revoke,bolden,grimaldi
14,cris,tameka,shawna,tutored,sleepaway,”bollerman
15,said,”,celester,”gross,“under,pereira
16,shawna,terwilliger,”neither,singletary,”bollerman,n“you’re
17,payne,payne’s,paynes,marcos,carjacked,jacinto
18,ribs,brisket,parmigiano,jabbed,meatballs,contemplation
19,barbecue,nnext,greasy,dumpling,yam,noodle
20,orthopedic,caregroup,tabb,model”,enhancement,musculoskeletal
21,caregroup,model”,hospitals,orthopedic,bolstering,gns
22,tabb,orthopedic,pallas,gens,lora,wahl
23,model”,integrating,caregroup,baystate,bolstering,referrals
24,enhancement,piano’s,budgeted,orthopedic,renzo,glaxosmithkline
25,musculoskeletal,hypothermia,caregroup,“complex”,orthopedic,barouch
