,word0,word1,word2,word3,word4,word5
0,dorchester,hyde,gallivan,roxbury,hosmer,uphams
1,roxbury,west,neighborhood,energy’s,dorchester,lateral
2,mattapan,“three,hyde,dorchester,almont,bcs
3,hyde,fairview,almont,park,iacono,dorchester
4,fenway,park,emerald,“kind,shelled,infield
5,beacon,hill,profligate,recycling,kenmore,1517
6,hill,beacon,savin,chestnut,stoops,bunker
7,downtown,crossing,workday,unloved,frontage,outlying
8,south,hull,logically,north,frontage,end
9,boston,scoured,nmccarthy,benevolent,harbormaster,consults
10,east,greenwich,zumix,hull,scoundrels,nahant
11,bay,374,kenmore,southeastern,1853,hull
12,jamaica,plain,typist,eire,almont,brozek
13,plain,jamaica,eire,typist,recite,almont
14,end,south,logically,gushed,strolls,roxburythe
15,charlestown,brighton,stoops,almont,bunker,kenmore
16,brighton,allston,vernon,atherton,charlestown,kenmore
17,allston,brighton,kenmore,tolls,rectory,readville
18,west,roxbury,lateral,pomodoro’s,energy’s,275
19,roslindale,benzy,hyde,astoria,bcs,gallivan
20,north,carolina,south,dakota,shorelines,attleborough
21,end,south,logically,gushed,strolls,roxburythe
22,mission,shawndel,netherlands,stabilize,belmont’s,faulk
23,waterfront,bayside,railyard,expo,frontage,progressively
24,harbor,pearl,flotilla,beaches,combed,iwana
25,islands,peninsulas,nahant,lopeses,gettysburg,workday
26,longwood,pasteur,cradle,elizabeth’s,squantum,readville
27,pasteur,longwood,cradle,mile”,chinatown’s,artesani
28,cradle,intellect,resounds,pasteur,mile”,longwood
29,elizabeth’s,ng,shattuck,ncarney,headquartered,baystate
30,squantum,rowes,iacono,mile”,hearttohub,comm
31,readville,newmarket,metering,ruggles,kenmore,armory
