,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,annapolis,jamaica_plain,hyde_park,south_boston
1,roxbury,dorchester,jamaica_plain,mattapan,pasciucco,newtowne
2,mattapan,jamaica_plain,straddles,hyde_park,roxbury,latiana
3,hyde_park,roslindale,jamaica_plain,mattapan,dorchester,devine
4,fenway,stenciled,officialdom,1927,inductee,park
5,beacon_hill,levers,conversions,stitch,1795,ntrayon
6,downtown,crossing’s,skyscrapers,fallow,waterfront,lisbon
7,south_boston,dorchester,funnels,charlestown,jamaica_plain,waterfront
8,east_boston,jamaica_plain,chittick,charlestown,condon,codman
9,back_bay,attractions,1850s,downtown,“outgoings,bellflower
10,jamaica_plain,mattapan,roxbury,hyde_park,dorchester,east_boston
11,south_end,mission_hill,bellflower,unidad,quinzani’s,“space
12,charlestown,jamaica_plain,simulate,downtown’s,east_boston,mission_hill
13,brighton,d’alcomo,allston,mission_hill,officialdom,chittick
14,allston,brighton,longwood_medical_area,pike’s,tollbooths,mission_hill
15,west_end,monadnock,resisters,bulldozed,blighted,dilapidated
16,roslindale,hyde_park,jamaica_plain,dorchester,nazzaro,trenton
17,north_end,clapboards,south_end,south_boston,bellflower,unidad
18,mission_hill,officialdom,straddles,jamaica_plain,d’alcomo,“pools
19,harbor_islands,starvation,boater,cod’s,andaman,miked
20,longwood_medical_area,underutilized,dotblock,fallow,undeveloped,buildout
21,underutilized,underdeveloped,developable,rezone,underused,chiofaro’s
22,dotblock,dasco,townhomes,oneunited,affordable”,northpoint
23,fallow,dotblock,developable,dasco,cottages,longwood_medical_area
24,undeveloped,quarry’s,dotblock,allerton,rezone,corcorans’
25,buildout,underdeveloped,fester,“gold,bisect,demountable
