,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,hyde_park,jamaica_plain,upham’s,englewood
1,roxbury,jamaica_plain,dorchester,newtowne,mattapan,“dudley
2,mattapan,ncampbell,hyde_park,roxbury,straddles,jamaica_plain
3,hyde_park,roslindale,jamaica_plain,dorchester,mattapan,radosta
4,fenway,stenciled,park,officialdom,“dominican,tiant
5,beacon_hill,levers,bylaws,nregular,associations,housecleaner
6,downtown,newmarket,crossing’s,waterfront,blossoming,skyscrapers
7,south_boston,dorchester,kemble,unidad,boycotted,jamaica_plain
8,east_boston,“woefully,jamaica_plain,englewood,chittick,charlestown
9,back_bay,attractions,downtown,1850s,hornblower,nregular
10,jamaica_plain,hyde_park,roxbury,dorchester,roslindale,mattapan
11,south_end,bellflower,unidad,mission_hill,botolph,hailey
12,charlestown,jamaica_plain,simulate,roxbury,xa0bunker,mattapan
13,brighton,d’alcomo,mission_hill,allston,officialdom,jamaica_plain
14,allston,mission_hill,officialdom,pike’s,brighton,tollbooths
15,west_end,resisters,monadnock,bulldozing,neighborhood’s,bulldozed
16,roslindale,hyde_park,jamaica_plain,ncampbell,dorchester,bardwell
17,north_end,clapboards,southie,nazzaro,south_end,allston
18,mission_hill,jamaica_plain,allston,brighton,bardwell,roslyn
19,harbor_islands,boater,roseland,1900”,febrile,fragmented
20,longwood_medical_area,”zahedi,underutilized,downtown’s,dotblock,fallow
21,”zahedi,fairgrounds,ncount,bisect,brookside,”dumont
22,underutilized,developable,underused,underdeveloped,chiofaro’s,rezone
23,downtown’s,segregating,fester,tonier,gated,bulldozing
24,dotblock,dasco,townhomes,oneunited,northpoint,affordably
25,fallow,crossing’s,dotblock,tonier,”zahedi,townhouses
