,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,hyde_park,jamaica_plain,mattapan,chinatown
1,roxbury,dorchester,chinatown,mission_hill,moreland,newtowne
2,mattapan,jamaica_plain,hyde_park,dorchester,ncampbell,roxbury
3,hyde_park,jamaica_plain,ncampbell,mattapan,dorchester,roslindale
4,fenway,1927,hurling,outfield,contrasted,eastie
5,beacon_hill,associations,chinatown,revitalized,fliers,swaths
6,downtown,crossing’s,newmarket,eyesore,renovated,taller
7,south_boston,dorchester,hyde_park,chinatown,banker,jamaica_plain
8,east_boston,charlestown,codman,mckay,jamaica_plain,englewood
9,back_bay,1850s,glassy,bustling,west_end,filling
10,jamaica_plain,hyde_park,charlestown,mission_hill,mattapan,chinatown
11,south_end,jamaica_plain,chinatown,mission_hill,encompasses,charlestown
12,charlestown,jamaica_plain,chinatown,jeffries,”across,mission_hill
13,brighton,allston,mission_hill,jamaica_plain,englewood,hennigan
14,allston,mission_hill,brighton,heath,dorchester’s,officialdom
15,west_end,blighted,revitalization,fallow,artery,rezoning
16,roslindale,hyde_park,ncampbell,dorchester,jamaica_plain,matos
17,north_end,southie,castle,squantum,chinatown,englewood
18,mission_hill,allston,jamaica_plain,restriction,chinatown,heath
19,harbor_islands,flagpoles,albaugh,drab,1850,masada
20,longwood_medical_area,redesigned,bustle,roadwork,crumbling,picturesque
21,redesigned,acreage,”zahedi,standard”,module,meetinghouse
22,bustle,cobbled,narrower,headache,roadwork,traverse
23,roadwork,windswept,frontage,realigning,teele,packards
24,crumbling,longwood_medical_area,repairing,bind,storefronts,cobbled
25,picturesque,circling,bustle,flamin,gazed,mice
