,0
dorchester,"[('intervale', 0.9169420003890991)]"
roxbury,"[('roxbury', 0.8918434381484985)]"
mattapan,"[('mattapan', 0.8803526759147644)]"
hyde_park,"[('roxbury', 0.8824779987335205)]"
fenway,"[('fenway', 0.8868108987808228)]"
beacon_hill,"[('beacon_hill', 0.887333869934082)]"
downtown,"[('downtown', 0.8894965648651123)]"
south_boston,"[('south_boston', 0.8901905417442322)]"
east_boston,"[('nstadig', 0.9008455872535706)]"
back_bay,"[('tricolor', 0.8788745403289795)]"
jamaica_plain,"[('jamaica_plain', 0.8928499221801758)]"
south_end,"[('south_end', 0.8867923617362976)]"
charlestown,"[('charlestown', 0.8706139326095581)]"
brighton,"[('brighton', 0.8913450241088867)]"
allston,"[('allston', 0.9090649485588074)]"
west_end,"[('flattening', 0.920956552028656)]"
roslindale,"[('roslindale', 0.8777033686637878)]"
north_end,"[('langone', 0.8888180255889893)]"
mission_hill,"[('mission_hill', 0.8853946924209595)]"
harbor_islands,"[('harbor_islands', 0.9219728112220764)]"
longwood_medical_area,"[('longwood_medical_area', 0.9257611632347107)]"
