,word0,word1,word2,word3,word4,word5
0,man,man’s,victim,ironworker,sedan,luis
1,woman,girl,assaulted,dialed,snapped,woman’s
2,men,women,teenagers,lieutenants,commentators,soldiers
3,women,men,minorities,dibs,century”,enslaved
4,male,female,hispanic,20s,males,40s
5,female,male,stumping,attacking,woman,hispanic
6,person,”another,51a,“well,forums,gentlest
7,people,dialogues,overwhelmed,selective,moms,folks
8,community,outreach,partnerships,philanthropic,empowerment,partnering
9,neighborhood,bowdoin,revitalization,mattapan,revitalize,stroll
10,child,bui,cazeau,prostitute,harding,abusive
11,children,fathers,grandchildren,parents,daughters,mother
12,kid,lovett,cris,”“there,coached,tawanda
13,youth,101,athletics,youths,mentoring,diocesan
14,business,zeroing,pastors,partnering,incubator,fidelity
15,company,company’s,inc,videll’s,business,cerulean
16,black,white,latino,males,predominantly,blacks
17,haitian,louima,immigrant,verdean,abner,creole
18,caribbean,africa’s,tahiti,shores,northern,methodist
19,jamaican,glitter,perching,blooming,bungalows,mohawk
20,dominican,republic,guatemala,bronx,italy,famer
21,republic,dominican,guatemala,immigrant,egypt,immigrated
22,guatemala,immigrated,gaudens,emigrated,platoon,perch
23,bronx,makespace,chorale,islander,universalist,babson
24,italy,village,guatemala,spain,portugal,mexican
25,famer,spahn,musial,famers,hanlan,inducted
